Province_State,Country_Region,Confirmed,Deaths
Michigan,US,5938,119
Michigan,US,4873,85
Michigan,US,33613,481
Michigan,US,3568,6
Michigan,US,68492,690
Michigan,US,15832,111
Michigan,US,6248,10
Michigan,US,25954,348
Michigan,US,23612,327
Michigan,US,40761,536
Michigan,US,56413,547
Michigan,US,3599,51
Michigan,US,180979,1566
Michigan,US,14982,316
Michigan,US,434,2
Michigan,US,3880,170
Michigan,US,29098,295
Michigan,US,25781,325
Michigan,US,49294,454
Michigan,US,164032,3199
Michigan,US,150,31
Michigan,US,249414,4008
Michigan,US,662,28
Michigan,US,10543,56
Michigan,US,3170,36
Michigan,US,19473,48
Michigan,US,7461,109
Michigan,US,36739,131
Michigan,US,6401,136
Michigan,US,8472,102
Michigan,US,40855,449
Michigan,US,13414,299
Michigan,US,7023,80
Michigan,US,156124,2463
Michigan,US,7340,77
Michigan,US,328445,3920
Michigan,US,6130,65
Michigan,US,686,47
Michigan,US,72,11
Michigan,US,1110,6
Michigan,US,53982,589
Michigan,US,2215,69
Michigan,US,78905,764
Michigan,US,3783,58
Michigan,US,33817,722
Michigan,US,1807,47
Michigan,US,52714,963
Michigan,US,3465,20
Michigan,US,28738,647
Michigan,US,8397,73
Michigan,US,34019,611
Michigan,US,14375,211
Michigan,US,1261,77
Michigan,US,46077,398
Michigan,US,259185,6199
Michigan,US,88494,460
Minnesota,US,452911,8136
Minnesota,US,63917,563
Minnesota,US,3359,18
Minnesota,US,98620,703
Minnesota,US,610,42
Minnesota,US,11747,122
Minnesota,US,2516,98
Minnesota,US,3540,57
Minnesota,US,13275,25
Minnesota,US,11768,9
Minnesota,US,4649,39
Minnesota,US,26984,79
Minnesota,US,3409,16
Minnesota,US,9843,64
Minnesota,US,14021,96
Minnesota,US,20920,128
Minnesota,US,253,3
Minnesota,US,11535,135
Minnesota,US,72994,614
Minnesota,US,13311,159
Minnesota,US,114382,702
Minnesota,US,3358,18
Minnesota,US,8345,103
Minnesota,US,2278,3
Minnesota,US,4053,84
Minnesota,US,8480,66
Minnesota,US,189301,2033
Minnesota,US,1587,6
Minnesota,US,339940,2604
Minnesota,US,2876,77
Minnesota,US,3164,54
Minnesota,US,9058,104
Minnesota,US,9320,106
Minnesota,US,8230,101
Minnesota,US,2965,33
Minnesota,US,12265,114
Minnesota,US,236,3
Minnesota,US,1694,13
Minnesota,US,1319,24
Minnesota,US,2746,11
Minnesota,US,114,1
Minnesota,US,1221,15
Minnesota,US,121,10
Minnesota,US,5754,51
Minnesota,US,2321,34
Minnesota,US,5699,68
Minnesota,US,1239,2
Minnesota,US,5675,18
Minnesota,US,814,9
Minnesota,US,251,63
Minnesota,US,8218,94
Minnesota,US,6955,13
Minnesota,US,3325,36
Minnesota,US,7780,59
Minnesota,US,17782,78
Minnesota,US,8957,130
Minnesota,US,44859,163
Minnesota,US,8799,124
Minnesota,US,2222,11
Minnesota,US,1298,23
Minnesota,US,189,20
Minnesota,US,74700,1018
Minnesota,US,2686,9
Minnesota,US,138110,1341
Minnesota,US,1901,39
Minnesota,US,8352,94
Minnesota,US,2173,26
Minnesota,US,15806,153
Minnesota,US,26685,177
Minnesota,US,16283,108
Minnesota,US,41209,248
Minnesota,US,3951,263
Minnesota,US,33388,285
Minnesota,US,45788,516
Minnesota,US,53012,370
Minnesota,US,9278,34
Minnesota,US,2377,37
Minnesota,US,1796,25
Minnesota,US,6727,79
Minnesota,US,3208,1
Minnesota,US,2473,296
Minnesota,US,1856,16
Minnesota,US,41404,348
Minnesota,US,3706,18
Minnesota,US,73263,484
Minnesota,US,5360,39
Minnesota,US,26952,236
Minnesota,US,12190,51
Mississippi,US,34071,186
Mississippi,US,3603,84
Mississippi,US,5721,88
Mississippi,US,7471,71
Mississippi,US,1864,29
Mississippi,US,876,39
Mississippi,US,599,2
Mississippi,US,8253,143
Mississippi,US,1387,3
Mississippi,US,1351,29
Mississippi,US,4670,57
Mississippi,US,542,63
Mississippi,US,1010,32
Mississippi,US,145,5
Mississippi,US,457,3
Mississippi,US,2414,31
Mississippi,US,27740,323
Mississippi,US,6804,148
Mississippi,US,53210,525
Mississippi,US,18973,237
Mississippi,US,207,12
Mississippi,US,3763,22
Mississippi,US,4634,73
Mississippi,US,30147,435
Mississippi,US,22874,498
Mississippi,US,55985,581
Mississippi,US,57889,765
Mississippi,US,4525,97
Mississippi,US,3004,65
Mississippi,US,25332,387
Mississippi,US,4446,79
Mississippi,US,39615,436
Mississippi,US,3516,32
Mississippi,US,12916,213
Mississippi,US,1600,14
Mississippi,US,13520,156
Mississippi,US,8903,91
Mississippi,US,3898,144
Mississippi,US,16772,117
Mississippi,US,15593,280
Mississippi,US,13940,191
Mississippi,US,1603,22
Mississippi,US,23411,171
Mississippi,US,3883,28
Mississippi,US,7119,124
Mississippi,US,14311,126
Mississippi,US,20181,187
Mississippi,US,75,47
Mississippi,US,8686,119
Mississippi,US,4784,13
Mississippi,US,866,5
Mississippi,US,9353,197
Mississippi,US,1043,42
Mississippi,US,4180,92
Mississippi,US,1862,78
Mississippi,US,9013,113
Mississippi,US,10089,120
Mississippi,US,4177,49
Mississippi,US,5362,102
Mississippi,US,9974,123
Mississippi,US,15455,306
Mississippi,US,3300,67
Mississippi,US,40217,473
Mississippi,US,2118,4
Mississippi,US,1728,27
Mississippi,US,3949,85
Mississippi,US,78,40
Mississippi,US,3447,19
Mississippi,US,1065,6
Mississippi,US,1804,26
Mississippi,US,3847,49
Mississippi,US,6092,69
Mississippi,US,6636,122
Mississippi,US,4047,51
Mississippi,US,6020,17
Mississippi,US,3016,57
Mississippi,US,3770,91
Mississippi,US,6879,134
Mississippi,US,9013,153
Mississippi,US,5160,48
Mississippi,US,302,21
Mississippi,US,797,2
Mississippi,US,792,10
Missouri,US,279,5
Missouri,US,5172,69
Missouri,US,4968,50
Missouri,US,663,28
Missouri,US,3434,74
Missouri,US,4021,72
Missouri,US,4372,82
Missouri,US,6,20
Missouri,US,1920,64
Missouri,US,23849,95
Missouri,US,13605,213
Missouri,US,40259,131
Missouri,US,25018,296
Missouri,US,2214,78
Missouri,US,5231,112
Missouri,US,1062,72
Missouri,US,8230,145
Missouri,US,19350,229
Missouri,US,15207,180
Missouri,US,535,18
Missouri,US,25897,290
Missouri,US,11734,153
Missouri,US,526,10
Missouri,US,3693,6
Missouri,US,1885,60
Missouri,US,14892,137
Missouri,US,1839,65
Missouri,US,17265,213
Missouri,US,3310,41
Missouri,US,3088,49
Missouri,US,282,26
Missouri,US,2401,38
Missouri,US,536,33
Missouri,US,380,19
Missouri,US,1411,6
Missouri,US,14617,190
Missouri,US,5972,42
Missouri,US,26205,353
Missouri,US,45313,743
Missouri,US,420,26
Missouri,US,75005,1042
Missouri,US,1318,3
Missouri,US,672,10
Missouri,US,5447,65
Missouri,US,384,37
Missouri,US,5406,145
Missouri,US,1000,1
Missouri,US,58068,665
Missouri,US,22615,406
Missouri,US,67802,794
Missouri,US,28241,434
Missouri,US,17140,334
Missouri,US,12254,137
Missouri,US,119155,1185
Missouri,US,4728,77
Missouri,US,2838,41
Missouri,US,6344,107
Missouri,US,3099,68
Missouri,US,953,15
Missouri,US,13529,62
Missouri,US,89,29
Missouri,US,1307,58
Missouri,US,2698,38
Missouri,US,2338,44
Missouri,US,2254,22
Missouri,US,8134,115
Missouri,US,1166,25
Missouri,US,1733,35
Missouri,US,3431,80
Missouri,US,2139,25
Missouri,US,2175,23
Missouri,US,816,29
Missouri,US,828,13
Missouri,US,4302,53
Missouri,US,1211,47
Missouri,US,11004,183
Missouri,US,4029,10
Missouri,US,785,9
Missouri,US,1180,13
Missouri,US,1851,21
Missouri,US,5240,50
Missouri,US,1954,155
Missouri,US,9991,120
Missouri,US,3914,174
Missouri,US,1324,18
Missouri,US,5596,2
Missouri,US,7985,90
Missouri,US,7949,99
Missouri,US,3206,60
Missouri,US,1133,36
Missouri,US,5514,91
Missouri,US,3382,43
Missouri,US,3457,60
Missouri,US,2301,39
Missouri,US,6121,93
Missouri,US,7247,108
Missouri,US,492,11
Missouri,US,10870,151
Missouri,US,64901,708
Missouri,US,352,14
Missouri,US,92248,736
Missouri,US,152204,2702
Missouri,US,18542,340
Missouri,US,255002,3391
Missouri,US,61596,692
Missouri,US,346,61
Missouri,US,5138,120
Missouri,US,3744,55
Missouri,US,1722,50
Missouri,US,14553,236
Missouri,US,1412,20
Missouri,US,6037,75
Missouri,US,997,9
Missouri,US,6975,69
Missouri,US,143,26
Missouri,US,2235,51
Missouri,US,6559,87
Montana,US,1180,20
Montana,US,665,6
Montana,US,846,2
Montana,US,4144,84
Montana,US,638,10
Montana,US,1171,16
Montana,US,14938,255
Montana,US,534,4
Montana,US,24528,312
Montana,US,772,6
Montana,US,1311,3
Montana,US,1284,19
Montana,US,1931,48
Montana,US,910,21
Montana,US,20774,215
Montana,US,20893,46
Montana,US,31129,287
Montana,US,35530,61
Montana,US,121,2
Montana,US,3826,69
Montana,US,3283,66
Montana,US,1358,11
Montana,US,4683,72
Montana,US,1981,61
Montana,US,12455,153
Montana,US,7053,100
Montana,US,16067,119
Montana,US,1003,16
Montana,US,4802,82
Montana,US,1789,14
Montana,US,360,5
Montana,US,17636,182
Montana,US,448,9
Montana,US,27582,182
Montana,US,939,30
Montana,US,3863,9
Montana,US,814,5
Montana,US,804,19
Montana,US,171,16
Montana,US,184,8
Montana,US,3491,97
Montana,US,1764,27
Montana,US,5233,95
Montana,US,974,22
Montana,US,1779,35
Montana,US,2212,51
Montana,US,4111,66
Montana,US,469,17
Montana,US,8476,126
Montana,US,658,13
Montana,US,186,8
Montana,US,1283,24
Montana,US,1310,25
Montana,US,1263,31
Montana,US,277,13
Montana,US,1706,30
Montana,US,31727,459
Nebraska,US,4625,38
Nebraska,US,44955,559
Nebraska,US,6713,72
Nebraska,US,1039,14
Nebraska,US,21,1
Nebraska,US,759,3
Nebraska,US,1655,5
Nebraska,US,789,2
Nebraska,US,1876,15
Nebraska,US,8655,51
Nebraska,US,403,9
Nebraska,US,10970,91
Nebraska,US,2977,1
Nebraska,US,844,7
Nebraska,US,5665,35
Nebraska,US,1041,6
Nebraska,US,742,9
Nebraska,US,592,1
Nebraska,US,2,3
Nebraska,US,103,10
Nebraska,US,1075,9
Nebraska,US,3283,52
Nebraska,US,919,18
Nebraska,US,2599,39
Nebraska,US,1142,10
Nebraska,US,4487,32
Nebraska,US,7056,60
Nebraska,US,101899,707
Nebraska,US,10096,107
Nebraska,US,155129,1030
Nebraska,US,17,2
Nebraska,US,716,11
Nebraska,US,417,7
Nebraska,US,2291,16
Nebraska,US,883,6
Nebraska,US,3325,43
Nebraska,US,87,5
Nebraska,US,316,2
Nebraska,US,85,6
Nebraska,US,11353,111
Nebraska,US,1167,15
Nebraska,US,16520,146
Nebraska,US,2270,25
Nebraska,US,83,3
Nebraska,US,1503,16
Nebraska,US,455,6
Nebraska,US,1379,10
Nebraska,US,894,4
Nebraska,US,454,6
Nebraska,US,284,2
Nebraska,US,286,1
Nebraska,US,1151,9
Nebraska,US,951,19
Nebraska,US,1197,12
Nebraska,US,50242,169
Nebraska,US,4780,49
Nebraska,US,81797,295
Nebraska,US,8945,117
Nebraska,US,6928,44
Nebraska,US,25,1
Nebraska,US,8541,55
Nebraska,US,877,6
Nebraska,US,1140,7
Nebraska,US,18,5
Nebraska,US,59,1
Nebraska,US,1108,9
Nebraska,US,669,12
Nebraska,US,3036,9
Nebraska,US,1311,8
Nebraska,US,457,9
Nebraska,US,4050,36
Nebraska,US,371,12
Nebraska,US,6855,59
Nebraska,US,71,7
Nebraska,US,2220,18
Nebraska,US,1000,20
Nebraska,US,33998,129
Nebraska,US,45,4
Nebraska,US,44914,207
Nebraska,US,2506,2
Nebraska,US,8794,73
Nebraska,US,2981,39
Nebraska,US,932,20
Nebraska,US,34,7
Nebraska,US,747,3
Nebraska,US,577,10
Nebraska,US,34,3
Nebraska,US,2613,1107
Nebraska,US,1172,19
Nebraska,US,22322,879
Nebraska,US,656,1
Nebraska,US,4152,38
Nebraska,US,1788,11
Nebraska,US,1997,0
Nevada,US,9544,178
Nevada,US,391,71
Nevada,US,349869,6237
Nevada,US,1866,42
Nevada,US,618006,8637
Nevada,US,8114,91
Nevada,US,12153,139
Nevada,US,2513,40
Nevada,US,630,14
Nevada,US,1984,53
Nevada,US,6121,116
Nevada,US,88,6
Nevada,US,6168,21
Nevada,US,183,11
Nevada,US,8093,269
Nevada,US,2261,31
Nevada,US,69884,1002
Nevada,US,6114,18
New Hampshire,US,109117,1109
New Hampshire,US,4531,10
New Hampshire,US,6090,116
New Hampshire,US,6192,19
New Hampshire,US,7527,71
New Hampshire,US,57532,647
New Hampshire,US,128,91
New Hampshire,US,64408,539
New Hampshire,US,16519,79
New Hampshire,US,69891,520
New Hampshire,US,29606,200
New Jersey,US,38924,748
New Jersey,US,158588,3068
New Jersey,US,6148,13
New Jersey,US,185854,2003
New Jersey,US,103537,1016
New Jersey,US,118754,1346
New Jersey,US,130603,2899
New Jersey,US,5789,164
New Jersey,US,126156,1202
New Jersey,US,62725,788
New Jersey,US,151638,1678
New Jersey,US,109736,2276
New Jersey,US,29955,530
New Jersey,US,151425,1563
New Jersey,US,70219,224
New Jersey,US,35767,483
New Jersey,US,174672,2845
New Jersey,US,117212,1463
New Jersey,US,8601,117
New Jersey,US,79864,990
New Jersey,US,68149,1579
New Jersey,US,14048,279
New Mexico,US,69823,1074
New Mexico,US,27092,335
New Mexico,US,157080,1783
New Mexico,US,3990,137
New Mexico,US,21058,293
New Mexico,US,783,66
New Mexico,US,2178,64
New Mexico,US,26909,382
New Mexico,US,11975,221
New Mexico,US,65491,790
New Mexico,US,17350,290
New Mexico,US,8088,101
New Mexico,US,483,5
New Mexico,US,14770,284
New Mexico,US,2526,30
New Mexico,US,19513,369
New Mexico,US,1010,38
New Mexico,US,13565,516
New Mexico,US,6939,126
New Mexico,US,19734,468
New Mexico,US,679,11
New Mexico,US,8417,107
New Mexico,US,1278,17
New Mexico,US,16830,508
New Mexico,US,2023,72
New Mexico,US,24484,502
New Mexico,US,10138,134
New Mexico,US,37939,404
New Mexico,US,32681,259
New Mexico,US,995,9
New Mexico,US,2331,58
New Mexico,US,932,96
New Mexico,US,2440,47
New Mexico,US,5749,193
New York,US,40294,422
New York,US,14147,155
New York,US,212111,6366
New York,US,23761,307
New York,US,451372,7679
New York,US,40505,417
New York,US,537,3
New York,US,3035,32
New York,US,19620,208
New York,US,13861,182
New York,US,3482,3
New York,US,12386,3
New York,US,6404,91
New York,US,33777,410
New York,US,139920,2163
New York,US,69943,629
New York,US,235830,2681
New York,US,2338,67
New York,US,509,113
New York,US,8193,75
New York,US,14430,192
New York,US,372,25
New York,US,12276,113
New York,US,466860,10978
New York,US,18267,101
New York,US,808767,13030
New York,US,2432,66
New York,US,100695,1230
New York,US,6600,48
New York,US,121429,1740
New York,US,259686,4521
New York,US,440704,3485
New York,US,468556,4899
New York,US,16776,286
New York,US,47276,677
New York,US,51754,131
New York,US,16542,87
New York,US,109961,1037
New York,US,2913,49
New York,US,30154,175
New York,US,5068,9
New York,US,434693,10082
New York,US,6255,89
New York,US,633740,10101
New York,US,29547,529
New York,US,162081,2138
New York,US,81744,650
New York,US,51023,323
New York,US,36283,300
New York,US,1791,44
New York,US,11240,131
New York,US,7934,122
New York,US,296631,3613
New York,US,10297,156
New York,US,482654,4440
New York,US,9489,62
New York,US,9943,227
New York,US,23098,89
New York,US,27954,276
New York,US,7460,89
New York,US,3972,5
New York,US,168819,2287
New York,US,13228,113
New York,US,290904,2737
North Carolina,US,20918,291
North Carolina,US,3346,79
North Carolina,US,50419,502
North Carolina,US,6776,59
North Carolina,US,939,40
North Carolina,US,4049,62
North Carolina,US,1245,55
North Carolina,US,2283,8
North Carolina,US,8035,80
North Carolina,US,13723,182
North Carolina,US,22489,319
North Carolina,US,17632,87
North Carolina,US,23443,232
North Carolina,US,12241,106
North Carolina,US,61169,502
North Carolina,US,15174,229
North Carolina,US,1608,30
North Carolina,US,15424,327
North Carolina,US,1903,46
North Carolina,US,47040,528
North Carolina,US,12572,77
North Carolina,US,5874,87
North Carolina,US,15543,262
North Carolina,US,7838,187
North Carolina,US,16620,242
North Carolina,US,34924,238
North Carolina,US,24414,188
North Carolina,US,93692,654
North Carolina,US,23601,302
North Carolina,US,1120,55
North Carolina,US,36599,241
North Carolina,US,26826,159
North Carolina,US,9427,122
North Carolina,US,28664,271
North Carolina,US,3733,91
North Carolina,US,59774,200
North Carolina,US,21877,64
North Carolina,US,70046,850
North Carolina,US,6923,87
North Carolina,US,1164,25
North Carolina,US,60277,825
North Carolina,US,2204,75
North Carolina,US,114641,981
North Carolina,US,7126,30
North Carolina,US,19422,112
North Carolina,US,11507,156
North Carolina,US,19700,237
North Carolina,US,4432,78
North Carolina,US,16497,226
North Carolina,US,4803,65
North Carolina,US,16696,137
North Carolina,US,9155,61
North Carolina,US,55773,345
North Carolina,US,7767,142
North Carolina,US,423,34
North Carolina,US,11841,148
North Carolina,US,23286,118
North Carolina,US,4769,48
North Carolina,US,3686,57
North Carolina,US,172526,1219
North Carolina,US,12673,152
North Carolina,US,313258,1566
North Carolina,US,11119,218
North Carolina,US,8997,112
North Carolina,US,4310,33
North Carolina,US,25903,258
North Carolina,US,24945,128
North Carolina,US,8766,25
North Carolina,US,55500,364
North Carolina,US,27362,31
North Carolina,US,6844,72
North Carolina,US,7426,113
North Carolina,US,10693,39
North Carolina,US,29324,121
North Carolina,US,8042,62
North Carolina,US,33883,90
North Carolina,US,3591,90
North Carolina,US,11512,2
North Carolina,US,33,28
North Carolina,US,15940,65
North Carolina,US,11722,45
North Carolina,US,32759,455
North Carolina,US,12698,298
North Carolina,US,7316,24
North Carolina,US,3540,15
North Carolina,US,6244,13
North Carolina,US,10131,156
North Carolina,US,18859,310
North Carolina,US,3488,40
North Carolina,US,12946,51
North Carolina,US,40298,379
North Carolina,US,7804,104
North Carolina,US,84088,418
North Carolina,US,10642,90
North Carolina,US,343710,1133
North Carolina,US,2634,3
North Carolina,US,15261,281
North Carolina,US,939,135
North Carolina,US,20688,171
North Carolina,US,11943,188
North Carolina,US,20371,292
North Dakota,US,11795,113
North Dakota,US,3509,19
North Dakota,US,850,12
North Dakota,US,3057,46
North Dakota,US,905,1
North Dakota,US,522,8
North Dakota,US,1360,23
North Dakota,US,24740,272
North Dakota,US,39495,283
North Dakota,US,36744,296
North Dakota,US,63012,295
North Dakota,US,553,4
North Dakota,US,734,32
North Dakota,US,89,2
North Dakota,US,483,8
North Dakota,US,72,13
North Dakota,US,366,14
North Dakota,US,14091,81
North Dakota,US,101,5
North Dakota,US,23559,123
North Dakota,US,79,4
North Dakota,US,223,11
North Dakota,US,73,10
North Dakota,US,189,2
North Dakota,US,2,8
North Dakota,US,83,3
North Dakota,US,1262,8
North Dakota,US,1465,38
North Dakota,US,1431,3
North Dakota,US,5717,82
North Dakota,US,457,8
North Dakota,US,11334,126
North Dakota,US,3225,33
North Dakota,US,701,3
North Dakota,US,514,24
North Dakota,US,489,28
North Dakota,US,30,9
North Dakota,US,3418,42
North Dakota,US,1403,7
North Dakota,US,3038,21
North Dakota,US,3536,14
North Dakota,US,6641,37
North Dakota,US,128,9
North Dakota,US,255,7
North Dakota,US,7668,60
North Dakota,US,235,2
North Dakota,US,7184,6
North Dakota,US,83,9
North Dakota,US,5882,76
North Dakota,US,679,33
North Dakota,US,315,8
North Dakota,US,15266,157
North Dakota,US,2819,23
North Dakota,US,13904,189
Northern Mariana Islands,US,2207,2
Ohio,US,6094,56
Ohio,US,8232,358
Ohio,US,1582,28
Ohio,US,13779,125
Ohio,US,3824,114
Ohio,US,13308,292
Ohio,US,5124,116
Ohio,US,4271,42
Ohio,US,47387,638
Ohio,US,7793,81
Ohio,US,94569,1072
Ohio,US,19555,315
Ohio,US,26273,286
Ohio,US,30488,459
Ohio,US,37507,156
Ohio,US,5003,36
Ohio,US,17721,315
Ohio,US,219020,3035
Ohio,US,2833,20
Ohio,US,292564,3759
Ohio,US,18082,30
Ohio,US,4231,54
Ohio,US,21849,71
Ohio,US,15773,176
Ohio,US,166771,1700
Ohio,US,311,28
Ohio,US,317939,2576
Ohio,US,2394,45
Ohio,US,18250,290
Ohio,US,9814,163
Ohio,US,90041,1220
Ohio,US,1430,78
Ohio,US,203280,1985
Ohio,US,15907,217
Ohio,US,2737,68
Ohio,US,4107,70
Ohio,US,2147,3
Ohio,US,7159,20
Ohio,US,4071,59
Ohio,US,1056,69
Ohio,US,4770,42
Ohio,US,16,53
Ohio,US,24903,281
Ohio,US,2707,34
Ohio,US,22601,346
Ohio,US,12269,126
Ohio,US,8001,330
Ohio,US,60886,1022
Ohio,US,67962,890
Ohio,US,69126,508
Ohio,US,4621,93
Ohio,US,26302,686
Ohio,US,18197,201
Ohio,US,36714,404
Ohio,US,14224,296
Ohio,US,7477,76
Ohio,US,61953,1115
Ohio,US,1327,33
Ohio,US,134092,1974
Ohio,US,14856,190
Ohio,US,5964,54
Ohio,US,21058,176
Ohio,US,119,8
Ohio,US,3078,43
Ohio,US,8504,106
Ohio,US,3895,42
Ohio,US,8333,148
Ohio,US,1204,41
Ohio,US,31203,320
Ohio,US,13991,221
Ohio,US,4360,98
Ohio,US,23561,320
Ohio,US,7275,101
Ohio,US,5053,41
Ohio,US,14854,102
Ohio,US,49670,1225
Ohio,US,79039,1268
Ohio,US,54239,969
Ohio,US,108437,1314
Ohio,US,45544,958
Ohio,US,11264,431
Ohio,US,5098,117
Ohio,US,15251,57
Ohio,US,33549,334
Ohio,US,6149,113
Ohio,US,45674,239
Ohio,US,6254,75
Ohio,US,2147,145
Ohio,US,5490,79
Oklahoma,US,29080,307
Oklahoma,US,4297,95
Oklahoma,US,5750,37
Oklahoma,US,1062,6
Oklahoma,US,125,30
Oklahoma,US,660,21
Oklahoma,US,3130,11
Oklahoma,US,3067,93
Oklahoma,US,10785,174
Oklahoma,US,800,28
Oklahoma,US,33127,268
Oklahoma,US,12657,190
Oklahoma,US,15081,155
Oklahoma,US,42783,579
Oklahoma,US,495,13
Oklahoma,US,63780,501
Oklahoma,US,750,1
Oklahoma,US,31605,366
Oklahoma,US,10637,245
Oklahoma,US,595,79
Oklahoma,US,11481,171
Oklahoma,US,7677,147
Oklahoma,US,11320,200
Oklahoma,US,9855,187
Oklahoma,US,4274,96
Oklahoma,US,6818,97
Oklahoma,US,6746,141
Oklahoma,US,13732,223
Oklahoma,US,682,7
Oklahoma,US,802,28
Oklahoma,US,1364,20
Oklahoma,US,1080,36
Oklahoma,US,1454,47
Oklahoma,US,1800,43
Oklahoma,US,4978,59
Oklahoma,US,7073,146
Oklahoma,US,463,0
Oklahoma,US,11920,172
Oklahoma,US,2712,43
Oklahoma,US,6693,39
Oklahoma,US,2881,83
Oklahoma,US,6729,20
Oklahoma,US,6418,114
Oklahoma,US,10334,131
Oklahoma,US,372,9
Oklahoma,US,4687,92
Oklahoma,US,3213,61
Oklahoma,US,5231,25
Oklahoma,US,9393,33
Oklahoma,US,5581,109
Oklahoma,US,9091,154
Oklahoma,US,2431,45
Oklahoma,US,19383,320
Oklahoma,US,700,8
Oklahoma,US,127415,1941
Oklahoma,US,2879,91
Oklahoma,US,207671,2369
Oklahoma,US,3567,87
Oklahoma,US,11833,171
Oklahoma,US,7138,58
Oklahoma,US,12814,127
Oklahoma,US,2865,84
Oklahoma,US,12465,62
Oklahoma,US,1794,1
Oklahoma,US,11408,115
Oklahoma,US,21612,273
Oklahoma,US,14498,267
Oklahoma,US,3241,91
Oklahoma,US,20113,299
Oklahoma,US,1605,20
Oklahoma,US,6981,65
Oklahoma,US,10854,183
Oklahoma,US,111189,1753
Oklahoma,US,10656,833
Oklahoma,US,171444,1989
Oklahoma,US,589,1466
Oklahoma,US,21878,244
Oklahoma,US,11787,234
Oklahoma,US,1413,1
Oregon,US,124,2
Oregon,US,1344,36
Oregon,US,31974,376
Oregon,US,16607,40
Oregon,US,69669,630
Oregon,US,742,68
Oregon,US,5511,40
Oregon,US,10611,126
Oregon,US,19040,129
Oregon,US,10184,253
Oregon,US,55150,310
Oregon,US,21660,400
Oregon,US,960,28
Oregon,US,316,16
Oregon,US,24904,349
Oregon,US,198,23
Oregon,US,37810,296
Oregon,US,1388,70
Oregon,US,17256,335
Oregon,US,16220,147
Oregon,US,2388,29
Oregon,US,53734,385
Oregon,US,2220,2
Oregon,US,12080,257
Oregon,US,6699,84
Oregon,US,13381,137
Oregon,US,5698,74
Oregon,US,149614,1306
Oregon,US,15785,94
Oregon,US,15304,181
Oregon,US,4476,68
Oregon,US,20666,174
Oregon,US,787,13
Oregon,US,2096,36
Oregon,US,44313,426
Oregon,US,5860,66
Oregon,US,97829,504
Pennsylvania,US,18202,271
Pennsylvania,US,159408,2494
Pennsylvania,US,15101,107
Pennsylvania,US,269753,2839
Pennsylvania,US,7474,130
Pennsylvania,US,33614,556
Pennsylvania,US,11554,218
Pennsylvania,US,99986,1482
Pennsylvania,US,61392,916
Pennsylvania,US,15727,400
Pennsylvania,US,111988,1355
Pennsylvania,US,47930,747
Pennsylvania,US,25370,520
Pennsylvania,US,25610,268
Pennsylvania,US,50391,655
Pennsylvania,US,32248,191
Pennsylvania,US,89517,938
Pennsylvania,US,1932,104
Pennsylvania,US,9784,166
Pennsylvania,US,5478,130
Pennsylvania,US,20430,468
Pennsylvania,US,22907,426
Pennsylvania,US,25280,669
Pennsylvania,US,58655,915
Pennsylvania,US,82283,1277
Pennsylvania,US,15559,435
Pennsylvania,US,60986,765
Pennsylvania,US,3797,139
